yr,month,day,code,code_b,trt,site_broadly,site_rep,site,trap,species,replicate,wing center (mm),thorax length (mm),head length (mm),forearm length (mm),horn length (mm),body length (mm),TrapCount,,,
2022,7,21,ungrazed_1-7,ungrazed1_2_SE_7,ungrazed,ungrazed_1,2,ungrazed1_2,SE,Onthophagus_nuchicornis_female,1,3.21,3.15,1.83,1.92,NA,8.19,1,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_NW_6,ungrazed,ungrazed_2,1,ungrazed2_1,NW,Onthophagus_nuchicornis_female,1,3.66,3.64,2.1,2.02,NA,9.4,1,,,
2022,8,18,ungrazed_2-8,ungrazed2_1_NE_8,ungrazed,ungrazed_2,1,ungrazed2_1,NE,Onthophagus_nuchicornis_female,1,2.55,2.42,1.51,1.53,NA,6.48,1,,,
2022,8,28,ungrazed_2-8,ungrazed2_1_NW_8,ungrazed,ungrazed_2,1,ungrazed2_1,NW,Onthophagus_nuchicornis_female,1,3.14,3.24,1.85,2.14,NA,8.23,1,,,
2022,7,14,ungrazed_2-7,ungrazed2_2_NW_7,ungrazed,ungrazed_2,2,ungrazed2_2,NW,Onthophagus_nuchicornis_female,1,2.89,2.92,1.73,1.33,NA,7.54,1,,,
2022,8,12,ungrazed_3-8,ungrazed3_1_NW_8,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Onthophagus_nuchicornis_female,1,3.61,3.44,2.07,2.28,NA,9.12,1,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_SW_8,ungrazed,ungrazed_3,2,ungrazed3_2,SW,Onthophagus_nuchicornis_female,1,2.59,3.01,1.65,2.12,NA,7.25,1,,,
2022,6,15,untrtpd_1-6,untrtpd1_NE_6,untrtpd,untrtpd_1,1,untrtpd1,NE,Onthophagus_nuchicornis_female,1,3.59,3.17,2.14,2.18,NA,8.9,1,,,
2022,6,15,cattle_1-6,cattle1_1_SE_6,cattle,cattle_1,1,cattle1_1,SE,Onthophagus_nuchicornis_male,1,3.49,2.87,2.12,1.79,1.22,8.48,1,,,
2022,6,15,cattle_1-6,cattle1_1_SW_6,cattle,cattle_1,1,cattle1_1,SW,Onthophagus_nuchicornis_male,1,3.74,3.61,2.34,2.54,1.24,9.69,1,,,
2022,8,18,cattle_1-8,cattle1_1_NE_8,cattle,cattle_1,1,cattle1_1,NE,Onthophagus_nuchicornis_male,1,3.17,3.11,1.8,1.9,1.56,8.08,1,,,
2022,8,18,cattle_1-8,cattle1_1_NW_8,cattle,cattle_1,1,cattle1_1,NW,Onthophagus_nuchicornis_male,1,2.92,2.68,1.6,1.69,0.63,7.2,1,,,
2022,8,18,cattle_1-8,cattle1_2_SW_8,cattle,cattle_1,2,cattle1_2,SW,Onthophagus_nuchicornis_male,1,2.91,2.53,1.92,1.79,1.02,7.36,1,,,
2022,6,15,cattle_2-6,cattle2_1_SW_6,cattle,cattle_2,1,cattle2_1,SW,Onthophagus_nuchicornis_male,1,2.92,2.82,1.73,1.7,0.75,7.47,1,,,
2022,6,15,bison_2-6,bison2_1_NW_6,bison,bison_2,1,bison2_1,NW,Canthon_pilularius,1,7.02,5.21,3.71,3.4,NA,15.94,2,,,
2022,6,15,bison_2-6,bison2_1_NW_6,bison,bison_2,1,bison2_1,NW,Canthon_pilularius,2,8.04,5.45,4.2,4.41,NA,17.69,2,,,
2022,7,15,bison_2-7,bison2_2_NW_7,bison,bison_2,2,bison2_2,NW,Canthon_pilularius,1,7.92,5.81,4.41,4.91,NA,18.14,2,,,
2022,7,15,bison_2-7,bison2_2_NW_7,bison,bison_2,2,bison2_2,NW,Canthon_pilularius,2,7.83,5.7,3.76,3.95,NA,17.29,2,,,
2022,7,15,bison_2-7,bison2_2_SE_7,bison,bison_2,2,bison2_2,SE,Canthon_pilularius,1,7.99,5.57,4.42,4.22,NA,17.98,2,,,
2022,7,15,bison_2-7,bison2_2_SE_7,bison,bison_2,2,bison2_2,SE,Canthon_pilularius,2,6.63,4.78,3.36,3.42,NA,14.77,2,,,
2022,7,20,trtpd_1-7,trtpd1_NW_7,trtpd,trtpd_1,1,trtpd1,NW,Canthon_pilularius,1,5.7,3.97,2.83,3.34,NA,12.5,2,,,
2022,7,20,trtpd_1-7,trtpd1_NW_7,trtpd,trtpd_1,1,trtpd1,NW,Canthon_pilularius,2,6.61,5.63,3.8,4.5,NA,16.04,2,,,
2022,7,20,trtpd_1-7,trtpd1_NW_7,trtpd,trtpd_1,1,trtpd1,NW,Canthon_pilularius,3,3.89,2.96,2.37,2.95,NA,9.22,2,,,
2022,7,20,trtpd_1-7,trtpd1_NW_7,trtpd,trtpd_1,1,trtpd1,NW,Canthon_pilularius,4,3.38,3.11,2.08,2.43,NA,8.57,2,,,
2022,7,20,trtpd_1-7,trtpd1_NW_7,trtpd,trtpd_1,1,trtpd1,NW,Canthon_pilularius,5,3.15,2.24,1.63,2.2,NA,7.02,2,,,
2022,6,10,trtpd_2-6,trtpd2_NE_6,trtpd,trtpd_2,1,trtpd2,NE,Canthon_pilularius,1,7.38,4.98,3.71,3.71,NA,16.07,2,,,
2022,6,10,trtpd_2-6,trtpd2_NE_6,trtpd,trtpd_2,1,trtpd2,NE,Canthon_pilularius,2,7.3,5.09,3.87,4.05,NA,16.26,2,,,
2022,6,25,trtpd_3-6,trtpd3_NE_6,trtpd,trtpd_3,1,trtpd3,NE,Canthon_pilularius,1,7.74,5.63,4.03,3.86,NA,17.4,2,,,
2022,6,25,trtpd_3-6,trtpd3_NE_6,trtpd,trtpd_3,1,trtpd3,NE,Canthon_pilularius,2,7.94,5.37,4.15,4.23,NA,17.46,2,,,
2022,6,25,trtpd_3-6,trtpd3_SW_6,trtpd,trtpd_3,1,trtpd3,SW,Canthon_pilularius,1,5.91,3.78,2.95,2.78,NA,12.64,2,,,
2022,6,25,trtpd_3-6,trtpd3_SW_6,trtpd,trtpd_3,1,trtpd3,SW,Canthon_pilularius,2,7.8,5.19,3.97,4.44,NA,16.96,2,,,
2022,7,14,trtpd_3-7,trtpd3_SW_7,trtpd,trtpd_3,1,trtpd3,SW,Canthon_pilularius,1,5.77,3.76,3.02,2.6,NA,12.55,2,,,
2022,7,14,trtpd_3-7,trtpd3_SW_7,trtpd,trtpd_3,1,trtpd3,SW,Canthon_pilularius,2,7.49,5.17,3.75,3.79,NA,16.41,2,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_NE_6,ungrazed,ungrazed_2,1,ungrazed2_1,NE,Canthon_pilularius,1,7.98,5.95,4.64,5.97,NA,18.57,2,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_NE_6,ungrazed,ungrazed_2,1,ungrazed2_1,NE,Canthon_pilularius,2,7.92,5.74,4.13,5,NA,17.79,2,,,
2022,6,23,ungrazed_3-6,ungrazed3_1_NE_6,ungrazed,ungrazed_3,1,ungrazed3_1,NE,Canthon_pilularius,1,7.89,5.9,4.16,5.07,NA,17.95,2,,,
2022,6,23,ungrazed_3-6,ungrazed3_1_NE_6,ungrazed,ungrazed_3,1,ungrazed3_1,NE,Canthon_pilularius,2,6.84,5.57,3.93,4.91,NA,16.34,2,,,
2022,6,25,ungrazed_3-6,ungrazed3_1_SW_6,ungrazed,ungrazed_3,1,ungrazed3_1,SW,Canthon_pilularius,1,7.56,6.12,4.55,5.57,NA,18.23,2,,,
2022,6,25,ungrazed_3-6,ungrazed3_1_SW_6,ungrazed,ungrazed_3,1,ungrazed3_1,SW,Canthon_pilularius,2,6.88,5.2,3.66,4.74,NA,15.74,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_1_NE_8,ungrazed,ungrazed_3,1,ungrazed3_1,NE,Canthon_pilularius,1,6.75,5.41,3.45,4.54,NA,15.61,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_1_NE_8,ungrazed,ungrazed_3,1,ungrazed3_1,NE,Canthon_pilularius,2,7.04,5.18,3.22,4.9,NA,15.44,2,,,
2022,6,23,ungrazed_3-6,ungrazed3_2_SW_6,ungrazed,ungrazed_3,2,ungrazed3_2,SW,Canthon_pilularius,1,7.91,5.13,4.18,4.18,NA,17.22,2,,,
2022,6,23,ungrazed_3-6,ungrazed3_2_SW_6,ungrazed,ungrazed_3,2,ungrazed3_2,SW,Canthon_pilularius,2,6.46,4.66,4.15,3.43,NA,15.27,2,,,
2022,7,13,ungrazed_3-7,ungrazed3_2_NE_7,ungrazed,ungrazed_3,2,ungrazed3_2,NE,Canthon_pilularius,1,6.87,5.67,3.72,4.59,NA,16.26,2,,,
2022,7,13,ungrazed_3-7,ungrazed3_2_NE_7,ungrazed,ungrazed_3,2,ungrazed3_2,NE,Canthon_pilularius,2,8.25,5.95,4.26,5.07,NA,18.46,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_NE_8,ungrazed,ungrazed_3,2,ungrazed3_2,NE,Canthon_pilularius,1,6.89,4.7,3.7,3.79,NA,15.29,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_NE_8,ungrazed,ungrazed_3,2,ungrazed3_2,NE,Canthon_pilularius,2,7.79,5.21,3.96,3.63,NA,16.96,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_SE_8,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Canthon_pilularius,1,6.94,4.91,3.56,3.76,NA,15.41,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_SE_8,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Canthon_pilularius,2,6.38,4.44,3.27,3.19,NA,14.09,2,,,
2022,8,12,bison_2-8,bison2_2_NE_8,bison,bison_2,2,bison2_2,NE,Onthophagus_nuchicornis_female,1,3.47,2.95,1.77,1.64,NA,8.19,2,,,
2022,6,15,cattle_1-6,cattle1_2_NE_6,cattle,cattle_1,2,cattle1_2,NE,Onthophagus_nuchicornis_female,1,3.73,3.47,2.48,2.26,NA,9.68,2,,,
2022,6,15,cattle_1-6,cattle1_2_NE_6,cattle,cattle_1,2,cattle1_2,NE,Onthophagus_nuchicornis_female,2,3.47,3.5,2.1,2.2,NA,9.07,2,,,
2022,6,15,cattle_1-6,cattle1_2_NW_6,cattle,cattle_1,2,cattle1_2,NW,Onthophagus_nuchicornis_female,1,3.1,3.3,1.92,2.01,NA,8.32,2,,,
2022,8,18,cattle_1-8,cattle1_2_SE_8,cattle,cattle_1,2,cattle1_2,SE,Onthophagus_nuchicornis_female,1,3.32,3.27,1.89,1.96,NA,8.48,2,,,
2022,6,15,cattle_2-6,cattle2_1_NE_6,cattle,cattle_2,1,cattle2_1,NE,Onthophagus_nuchicornis_female,1,3.51,3.74,2.38,2.14,NA,9.63,2,,,
2022,6,15,cattle_2-6,cattle2_1_NE_6,cattle,cattle_2,1,cattle2_1,NE,Onthophagus_nuchicornis_female,2,3.42,3.94,2.28,2.25,NA,9.64,2,,,
2022,6,15,cattle_2-6,cattle2_2_SE_6,cattle,cattle_2,2,cattle2_2,SE,Onthophagus_nuchicornis_female,1,3.48,3.11,1.9,2.15,NA,8.49,2,,,
2022,6,15,cattle_2-6,cattle2_2_SE_6,cattle,cattle_2,2,cattle2_2,SE,Onthophagus_nuchicornis_female,2,2.9,2.91,1.81,2.06,NA,7.62,2,,,
2022,8,17,cattle_3-8,cattle3_1_NE_8,cattle,cattle_3,1,cattle3_1,NE,Onthophagus_nuchicornis_female,1,3.47,3.32,1.89,2.07,NA,8.68,2,,,
2022,8,17,cattle_3-8,cattle3_1_NE_8,cattle,cattle_3,1,cattle3_1,NE,Onthophagus_nuchicornis_female,2,3.13,2.79,1.61,1.82,NA,7.53,2,,,
2022,8,17,cattle_3-8,cattle3_1_NW_8,cattle,cattle_3,1,cattle3_1,NW,Onthophagus_nuchicornis_female,1,3.11,2.72,1.58,1.86,NA,7.41,2,,,
2022,8,17,cattle_3-8,cattle3_1_NW_8,cattle,cattle_3,1,cattle3_1,NW,Onthophagus_nuchicornis_female,2,3.46,3.23,1.79,1.89,NA,8.48,2,,,
2022,8,17,cattle_3-8,cattle3_1_SE_8,cattle,cattle_3,1,cattle3_1,SE,Onthophagus_nuchicornis_female,1,3.52,3.45,2.41,2.06,NA,9.38,2,,,
2022,8,18,trtpd_1-8,trtpd1_SE_8,trtpd,trtpd_1,1,trtpd1,SE,Onthophagus_nuchicornis_female,1,2.93,2.48,1.58,1.74,NA,6.99,2,,,
2022,8,18,trtpd_1-8,trtpd1_SE_8,trtpd,trtpd_1,1,trtpd1,SE,Onthophagus_nuchicornis_female,2,3.19,2.96,1.91,1.94,NA,8.06,2,,,
2022,8,24,trtpd_2-8,trtpd2_NW_8,trtpd,trtpd_2,1,trtpd2,NW,Onthophagus_nuchicornis_female,1,2.75,2.72,1.61,1.58,NA,7.08,2,,,
2022,8,24,trtpd_2-8,trtpd2_NW_8,trtpd,trtpd_2,1,trtpd2,NW,Onthophagus_nuchicornis_female,2,2.77,2.66,1.57,1.6,NA,7,2,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_NE_6,ungrazed,ungrazed_2,1,ungrazed2_1,NE,Onthophagus_nuchicornis_female,1,3.18,3.05,1.84,2.2,NA,8.07,2,,,
2022,8,18,ungrazed_2-8,ungrazed2_1_SE_8,ungrazed,ungrazed_2,1,ungrazed2_1,SE,Onthophagus_nuchicornis_female,1,3.03,3.45,2.31,2.57,NA,8.79,2,,,
2022,7,13,ungrazed_3-7,ungrazed3_1_NW_7,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Onthophagus_nuchicornis_female,1,3.22,3.46,1.9,1.89,NA,8.58,2,,,
2022,7,13,ungrazed_3-7,ungrazed3_1_NW_7,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Onthophagus_nuchicornis_female,2,3.16,3.27,1.45,2.11,NA,7.88,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_SE_8,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Onthophagus_nuchicornis_female,1,2.77,2.47,1.52,1.92,NA,6.76,2,,,
2022,8,12,bison_2-8,bison2_2_NE_8,bison,bison_2,2,bison2_2,NE,Onthophagus_nuchicornis_male,1,3.61,2.8,2.17,1.18,NA,8.58,2,,,
2022,6,15,cattle_1-6,cattle1_2_NW_6,cattle,cattle_1,2,cattle1_2,NW,Onthophagus_nuchicornis_male,1,3.72,3.53,2.45,2.44,1.38,9.7,2,,,
2022,8,18,cattle_1-8,cattle1_2_SE_8,cattle,cattle_1,2,cattle1_2,SE,Onthophagus_nuchicornis_male,1,3.49,3.24,1.99,1.82,1.41,8.72,2,,,
2022,8,17,cattle_3-8,cattle3_1_SE_8,cattle,cattle_3,1,cattle3_1,SE,Onthophagus_nuchicornis_male,1,3.25,3.16,1.94,1.78,1.05,8.35,2,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_NE_6,ungrazed,ungrazed_2,1,ungrazed2_1,NE,Onthophagus_nuchicornis_male,1,3.86,3.22,2.01,2.11,1.18,9.09,2,,,
2022,8,18,ungrazed_2-8,ungrazed2_1_SE_8,ungrazed,ungrazed_2,1,ungrazed2_1,SE,Onthophagus_nuchicornis_male,1,3.57,3.37,1.54,1.9,0.98,8.48,2,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_SE_8,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Onthophagus_nuchicornis_male,1,3.27,2.76,2.54,1.97,1.08,8.57,2,,,
2022,8,12,bison_2-8,bison2_1_SE_8,bison,bison_2,1,bison2_1,SE,Canthon_pilularius,1,3.8,2.96,1.77,2.52,NA,8.53,3,,,
2022,8,12,bison_2-8,bison2_1_SE_8,bison,bison_2,1,bison2_1,SE,Canthon_pilularius,2,7.65,5.41,4.19,4.22,NA,17.25,3,,,
2022,8,12,bison_2-8,bison2_1_SE_8,bison,bison_2,1,bison2_1,SE,Canthon_pilularius,3,7.92,5.67,4.12,5.05,NA,17.71,3,,,
2022,8,12,bison_2-8,bison2_1_SE_8,bison,bison_2,1,bison2_1,SE,Canthon_pilularius,4,7.61,5.63,3.57,4.49,NA,16.81,3,,,
2022,7,15,bison_2-7,bison2_2_NE_7,bison,bison_2,2,bison2_2,NE,Canthon_pilularius,1,6.7,4.89,3.15,4.41,NA,14.74,3,,,
2022,7,15,bison_2-7,bison2_2_NE_7,bison,bison_2,2,bison2_2,NE,Canthon_pilularius,2,6.87,5.01,3.25,3.84,NA,15.13,3,,,
2022,7,15,bison_2-7,bison2_2_NE_7,bison,bison_2,2,bison2_2,NE,Canthon_pilularius,3,5.06,3.98,2.48,2.93,NA,11.52,3,,,
2022,6,15,cattle_1-6,cattle1_2_NW_6,cattle,cattle_1,2,cattle1_2,NW,Canthon_pilularius,1,7.37,5.46,3.84,4.07,NA,16.67,3,,,
2022,6,15,cattle_1-6,cattle1_2_NW_6,cattle,cattle_1,2,cattle1_2,NW,Canthon_pilularius,2,7.83,5.58,3.94,4.79,NA,17.35,3,,,
2022,6,15,cattle_1-6,cattle1_2_NW_6,cattle,cattle_1,2,cattle1_2,NW,Canthon_pilularius,3,7.2,5.54,4.01,4.25,NA,16.75,3,,,
2022,6,25,trtpd_3-6,trtpd3_SE_6,trtpd,trtpd_3,1,trtpd3,SE,Canthon_pilularius,1,6.43,4.67,3.4,3.27,NA,14.5,3,,,
2022,6,25,trtpd_3-6,trtpd3_SE_6,trtpd,trtpd_3,1,trtpd3,SE,Canthon_pilularius,2,7.06,4.97,3.51,3.58,NA,15.54,3,,,
2022,6,25,trtpd_3-6,trtpd3_SE_6,trtpd,trtpd_3,1,trtpd3,SE,Canthon_pilularius,3,7.34,5.24,3.99,3.76,NA,16.57,3,,,
2022,6,23,ungrazed_3-6,ungrazed3_1_NW_6,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Canthon_pilularius,1,7.22,4.72,3.54,4.02,NA,15.48,3,,,
2022,6,23,ungrazed_3-6,ungrazed3_1_NW_6,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Canthon_pilularius,2,7.65,5.62,3.88,3.41,NA,17.15,3,,,
2022,6,23,ungrazed_3-6,ungrazed3_1_NW_6,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Canthon_pilularius,3,7.51,5.27,4.04,4.03,NA,16.82,3,,,
2022,7,13,ungrazed_3-7,ungrazed3_1_NW_7,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Canthon_pilularius,1,7.43,5.81,3.76,4.89,NA,17,3,,,
2022,7,13,ungrazed_3-7,ungrazed3_1_NW_7,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Canthon_pilularius,2,7.56,6.47,3.86,5.72,NA,17.89,3,,,
2022,7,13,ungrazed_3-7,ungrazed3_1_NW_7,ungrazed,ungrazed_3,1,ungrazed3_1,NW,Canthon_pilularius,3,7.2,5.87,4.14,4.81,NA,17.21,3,,,
2022,6,23,ungrazed_3-6,ungrazed3_2_SE_6,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Canthon_pilularius,1,5.87,3.99,2.98,2.94,NA,12.84,3,,,
2022,6,23,ungrazed_3-6,ungrazed3_2_SE_6,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Canthon_pilularius,2,6.72,4.57,3.5,3.85,NA,14.79,3,,,
2022,6,23,ungrazed_3-6,ungrazed3_2_SE_6,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Canthon_pilularius,3,7.96,5.62,4.45,4.67,NA,18.03,3,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_NW_8,ungrazed,ungrazed_3,2,ungrazed3_2,NW,Canthon_pilularius,1,7.21,5.9,4.45,4.96,NA,17.56,3,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_NW_8,ungrazed,ungrazed_3,2,ungrazed3_2,NW,Canthon_pilularius,2,7.84,5.85,3.95,5.04,NA,17.64,3,,,
2022,8,12,ungrazed_3-8,ungrazed3_2_NW_8,ungrazed,ungrazed_3,2,ungrazed3_2,NW,Canthon_pilularius,3,6.11,4.47,3.51,NA,NA,14.09,3,,,
2022,7,15,bison_2-7,bison2_2_SE_7,bison,bison_2,2,bison2_2,SE,Onthophagus_nuchicornis_female,1,3.26,2.85,1.7,1.76,NA,7.81,3,,,
2022,7,15,bison_2-7,bison2_2_SE_7,bison,bison_2,2,bison2_2,SE,Onthophagus_nuchicornis_female,2,3.47,3.21,1.88,2.08,NA,8.56,3,,,
2022,8,12,bison_2-8,bison2_2_NW_8,bison,bison_2,2,bison2_2,NW,Onthophagus_nuchicornis_female,1,3.17,3.33,1.97,2.21,NA,8.47,3,,,
2022,8,12,bison_2-8,bison2_2_SE_8,bison,bison_2,2,bison2_2,SE,Onthophagus_nuchicornis_female,1,2.78,2.49,1.37,1.62,NA,6.64,3,,,
2022,8,12,bison_2-8,bison2_2_SE_8,bison,bison_2,2,bison2_2,SE,Onthophagus_nuchicornis_female,2,2.58,2.24,1.43,1.06,NA,6.25,3,,,
2022,8,12,bison_2-8,bison2_2_SE_8,bison,bison_2,2,bison2_2,SE,Onthophagus_nuchicornis_female,3,3.3,3.15,1.93,1.93,NA,8.38,3,,,
2022,8,17,bison_3-8,bison3_2_SW_8,bison,bison_3,2,bison3_2,SW,Onthophagus_nuchicornis_female,1,3.02,3.11,1.64,1.9,NA,7.77,3,,,
2022,6,15,cattle_1-6,cattle1_1_NE_6,cattle,cattle_1,1,cattle1_1,NE,Onthophagus_nuchicornis_female,1,3.19,3.37,1.71,2.23,NA,8.27,3,,,
2022,6,15,cattle_1-6,cattle1_1_NE_6,cattle,cattle_1,1,cattle1_1,NE,Onthophagus_nuchicornis_female,2,3.45,3.36,1.87,1.97,NA,8.68,3,,,
2022,6,15,cattle_1-6,cattle1_1_NE_6,cattle,cattle_1,1,cattle1_1,NE,Onthophagus_nuchicornis_female,3,3.11,3.4,2,1.91,NA,8.51,3,,,
2022,8,18,cattle_1-8,cattle1_1_SE_8,cattle,cattle_1,1,cattle1_1,SE,Onthophagus_nuchicornis_female,1,2.56,2.3,1.49,1.68,NA,6.35,3,,,
2022,8,18,cattle_1-8,cattle1_1_SW_8,cattle,cattle_1,1,cattle1_1,SW,Onthophagus_nuchicornis_female,1,2.33,1.76,1.48,1.14,NA,5.57,3,,,
